"Application","Role","MemberCount","Signal"
"Comptabilite","Comptabilite-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
"Comptabilite","Comptabilite-Consultant","1","Quasi-vide — 1 membre(s), à vérifier"
"CRM","CRM-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
"ERP","ERP-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
"ERP","ERP-Support","1","Quasi-vide — 1 membre(s), à vérifier"
"Juridique","Juridique-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
"Juridique","Juridique-Standard","1","Quasi-vide — 1 membre(s), à vérifier"
"Marketing","Marketing-Consultant","1","Quasi-vide — 1 membre(s), à vérifier"
"Marketing","Marketing-Owner","1","Quasi-vide — 1 membre(s), à vérifier"
"RH","RH-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
"SIRH","SIRH-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
"Support-N3","Support-N3-Admin","1","Quasi-vide — 1 membre(s), à vérifier"
