Person,Application,Role,AccessLabel,Reviewer,Decision,Comment
boyle,Chemists,,Chemists (accès direct),,Approve,
curie,Chemists,,Chemists (accès direct),,Approve,
einstein,Scientists,,Scientists (accès direct),,,
euclid,Mathematicians,,Mathematicians (accès direct),,,
euler,Mathematicians,,Mathematicians (accès direct),,,
galileo,Scientists,,Scientists (accès direct),,,
gauss,Mathematicians,,Mathematicians (accès direct),,,
newton,Scientists,,Scientists (accès direct),,,
nobel,Chemists,,Chemists (accès direct),,,
pasteur,Chemists,,Chemists (accès direct),,,
riemann,Mathematicians,,Mathematicians (accès direct),,,
tesla,Scientists,,Scientists (accès direct),,Revoke,
tesla,Scientists,Italians,Scientists / Italians,,,
test,Mathematicians,,Mathematicians (accès direct),,,
